,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,PERIOD,EPOCH,AGE / STAGE,Age (Ma),87Sr/86Sr mean,87Sr/8Sr min,87sr/86Sr max,Half-width interval,rate of change,extrapolated
,,Quaternary,Holocene,Holocene,0.00,0.709174,0.709170,0.709178,4,40,Extrapolated
,,Quaternary,Pleistocene,Pleistocene,0.05,0.709173,0.709168,0.709177,4,40,Extrapolated
,,Quaternary,Pleistocene,Tarantin,0.10,0.709171,0.709167,0.709175,4,40,Extrapolated
,,Quaternary,Pleistocene,Ionian (Chibanian),0.15,0.709169,0.709165,0.709173,4,40,Extrapolated
,,Quaternary,Pleistocene,Ionian (Chibanian),0.20,0.709167,0.709163,0.709172,4,40,Extrapolated
,,Quaternary,Pleistocene,Ionian (Chibanian),0.25,0.709165,0.709159,0.709171,6,40,Extrapolated
,,Quaternary,Pleistocene,Ionian (Chibanian),0.30,0.709163,0.709155,0.709171,8,40,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.35,0.709161,0.709152,0.709171,9,42,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.40,0.709159,0.709149,0.709169,10,44,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.45,0.709157,0.709148,0.709165,8,46,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.50,0.709154,0.709148,0.709161,7,47,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.55,0.709152,0.709146,0.709158,6,49,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.60,0.709149,0.709143,0.709155,6,50,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.65,0.709147,0.709140,0.709153,7,51,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.70,0.709144,0.709137,0.709151,7,52,
,,Quaternary,Pleistocene,Ionian (Chibanian),0.75,0.709141,0.709132,0.709150,9,53,
,,Neogene,Pleistocene,Calabrian,0.80,0.709139,0.709128,0.709149,11,54,
,,Neogene,Pleistocene,Calabrian,0.85,0.709136,0.709126,0.709146,10,54,
,,Neogene,Pleistocene,Calabrian,0.90,0.709133,0.709124,0.709142,9,54,
,,Neogene,Pleistocene,Calabrian,0.95,0.709130,0.709122,0.709138,8,54,
,,Neogene,Pleistocene,Calabrian,1.00,0.709128,0.709120,0.709135,7,54,
,,Neogene,Pleistocene,Calabrian,1.05,0.709125,0.709118,0.709132,7,54,
,,Neogene,Pleistocene,Calabrian,1.10,0.709122,0.709115,0.709129,7,54,
,,Neogene,Pleistocene,Calabrian,1.15,0.709120,0.709113,0.709126,7,53,
,,Neogene,Pleistocene,Calabrian,1.20,0.709117,0.709110,0.709124,7,53,
,,Neogene,Pleistocene,Calabrian,1.25,0.709114,0.709107,0.709122,8,52,
,,Neogene,Pleistocene,Calabrian,1.30,0.709112,0.709103,0.709120,8,51,
,,Neogene,Pleistocene,Calabrian,1.35,0.709109,0.709101,0.709117,8,51,
,,Neogene,Pleistocene,Calabrian,1.40,0.709107,0.709099,0.709114,7,50,
,,Neogene,Pleistocene,Calabrian,1.45,0.709104,0.709097,0.709112,7,49,
,,Neogene,Pleistocene,Calabrian,1.50,0.709102,0.709094,0.709110,8,48,
,,Neogene,Pleistocene,Calabrian,1.55,0.709099,0.709091,0.709108,8,47,
,,Neogene,Pleistocene,Calabrian,1.60,0.709097,0.709089,0.709106,8,45,
,,Neogene,Pleistocene,Calabrian,1.65,0.709095,0.709088,0.709102,7,44,
,,Neogene,Pleistocene,Calabrian,1.70,0.709093,0.709087,0.709099,6,43,
,,Neogene,Pleistocene,Calabrian,1.75,0.709091,0.709085,0.709096,6,42,
,,Neogene,Pleistocene,Calabrian,1.80,0.709089,0.709083,0.709094,5,41,
,,Neogene,Pleistocene,Gelasian,1.85,0.709087,0.709082,0.709092,5,39,
,,Neogene,Pleistocene,Gelasian,1.90,0.709085,0.709080,0.709089,5,38,
,,Neogene,Pleistocene,Gelasian,1.95,0.709083,0.709078,0.709088,5,37,
,,Neogene,Pleistocene,Gelasian,2.00,0.709081,0.709075,0.709087,6,35,
,,Neogene,Pleistocene,Gelasian,2.05,0.709080,0.709073,0.709086,6,34,
,,Neogene,Pleistocene,Gelasian,2.10,0.709078,0.709071,0.709085,7,33,
,,Neogene,Pleistocene,Gelasian,2.15,0.709076,0.709068,0.709084,8,32,
,,Neogene,Pleistocene,Gelasian,2.20,0.709075,0.709066,0.709083,9,30,
,,Neogene,Pleistocene,Gelasian,2.25,0.709073,0.709063,0.709083,10,29,
,,Neogene,Pleistocene,Gelasian,2.30,0.709072,0.709061,0.709082,11,28,
,,Neogene,Pleistocene,Gelasian,2.35,0.709071,0.709061,0.709080,10,27,
,,Neogene,Pleistocene,Gelasian,2.40,0.709069,0.709061,0.709078,8,26,
,,Neogene,Pleistocene,Gelasian,2.45,0.709068,0.709060,0.709076,8,25,
,,Neogene,Pleistocene,Gelasian,2.50,0.709067,0.709060,0.709074,7,23,
,,Neogene,"Pleistocene, Gelasian base = 2.588",Gelasian,2.55,0.709066,0.709060,0.709071,5,22,
,,Neogene,Pliocene,Piacenzian,2.60,0.709065,0.709060,0.709068,4,21,
,,Neogene,Pliocene,Piacenzian,2.65,0.709064,0.709060,0.709067,4,20,
,,Neogene,Pliocene,Piacenzian,2.70,0.709063,0.709059,0.709067,4,19,
,,Neogene,Pliocene,Piacenzian,2.75,0.709062,0.709058,0.709066,4,18,
,,Neogene,Pliocene,Piacenzian,2.80,0.709061,0.709058,0.709064,3,17,
,,Neogene,Pliocene,Piacenzian,2.85,0.709060,0.709057,0.709063,3,16,
,,Neogene,Pliocene,Piacenzian,2.90,0.709059,0.709057,0.709063,3,16,
,,Neogene,Pliocene,Piacenzian,2.95,0.709059,0.709055,0.709062,4,15,
,,Neogene,Pliocene,Piacenzian,3.00,0.709058,0.709053,0.709062,4,14,
,,Neogene,Pliocene,Piacenzian,3.05,0.709057,0.709053,0.709062,4,13,
,,Neogene,Pliocene,Piacenzian,3.10,0.709057,0.709052,0.709061,4,12,
,,Neogene,Pliocene,Piacenzian,3.15,0.709056,0.709052,0.709060,4,12,
,,Neogene,Pliocene,Piacenzian,3.20,0.709056,0.709052,0.709059,3,11,
,,Neogene,Pliocene,Piacenzian,3.25,0.709055,0.709052,0.709058,3,11,
,,Neogene,Pliocene,Piacenzian,3.30,0.709055,0.709051,0.709058,3,10,
,,Neogene,Pliocene,Piacenzian,3.35,0.709054,0.709051,0.709058,3,9,
,,Neogene,Pliocene,Piacenzian,3.40,0.709054,0.709051,0.709057,3,9,
,,Neogene,Pliocene,Piacenzian,3.45,0.709053,0.709050,0.709057,3,9,
,,Neogene,Pliocene,Piacenzian,3.50,0.709053,0.709050,0.709056,3,8,
,,Neogene,Pliocene,Piacenzian,3.55,0.709052,0.709049,0.709056,3,8,
,,Neogene,Pliocene,Piacenzian,3.60,0.709052,0.709048,0.709055,3,8,
,,Neogene,Pliocene,Zanclean,3.65,0.709052,0.709048,0.709055,3,7,
,,Neogene,Pliocene,Zanclean,3.70,0.709051,0.709047,0.709055,4,7,
,,Neogene,Pliocene,Zanclean,3.75,0.709051,0.709047,0.709055,4,7,
